"sku","quantity"
"ARC 8601-CTKIT",28
"ARC PC383FT-030",0
"ARC SBC20064A",0
"KIR 00100-1KIT",0
"KMJ 101",6
"KMJ 102",9
"KMJ 103",0
"KMJ 1030211-114KIT",91
"KMJ 1030213-114KIT",0
"KMJ 1035001-104KIT",0
"KMJ 1035001-105KIT",39
"KMJ 1035001-106KIT",150
"KMJ 1035001-107KIT",14
"KMJ 1035001-108KIT",0
"KMJ 1035001-109KIT",54
"KMJ 1035001-110KIT",0
"KMJ 1035001-111KIT",82
"KMJ 1035001-112KIT",94
"KMJ 1035001-113KIT",89
"KMJ 1035001-114KIT",250
"KMJ 1035001-115KIT",0
"KMJ 1035002-100KIT",60
"KMJ 1035002-101KIT",0
"KMJ 1035002-102KIT",25
"KMJ 1035002-108KIT",90
"KMJ 1035002-109KIT",54
"KMJ 1035002-110KIT",0
"KMJ 1035002-111KIT",0
"KMJ 1035002-112KIT",0
"KMJ 1035002-113KIT",89
"KMJ 1035002-114KIT",179
"KMJ 1035002-115KIT",0
"KMJ 1035004-104KIT",52
"KMJ 1035004-105KIT",39
"KMJ 1035004-107KIT",14
"KMJ 1035004-108KIT",90
"KMJ 1035004-109KIT",54
"KMJ 1035004-110KIT",346
"KMJ 1035004-111KIT",82
"KMJ 1035004-112KIT",94
"KMJ 1035004-113KIT",89
"KMJ 1035004-114KIT",250
"KMJ 1035004-115KIT",0
"KMJ 1035011-104KIT",52
"KMJ 1035011-105KIT",39
"KMJ 1035011-106KIT",97
"KMJ 1035011-107KIT",14
"KMJ 1035011-108KIT",90
"KMJ 1035011-109KIT",54
"KMJ 1035011-110KIT",97
"KMJ 1035011-111KIT",82
"KMJ 1035011-112KIT",94
"KMJ 1035011-113KIT",89
"KMJ 1035011-114KIT",97
"KMJ 1035012-108KIT",90
"KMJ 1035012-109KIT",54
"KMJ 1035012-110KIT",123
"KMJ 1035012-111KIT",82
"KMJ 1035012-112KIT",94
"KMJ 1035012-113KIT",89
"KMJ 1035012-114KIT",123
"KMJ 1035012-115KIT",0
