SKU	AvgCost
AVS 12049	58.68
AVS 12050	59.88
AVS 192097	48.52
AVS 192127	48.3
AVS 192131	48.48
AVS 192153	47.4
AVS 192311	48.3
AVS 192326	44.7
AVS 192328	44.38
AVS 192352	47.99
AVS 192455	48.84
AVS 192706	44.34
AVS 192741	52.14
AVS 192755	49.18
AVS 194003	62.52
AVS 194065	58.56
AVS 194069	64.78
AVS 194074	62.52
AVS 194101	62.34
AVS 194105	61.8
AVS 194233	58.64
AVS 194240	62.52
AVS 194241	64.74
AVS 194249	58.64
AVS 194261	60.62
AVS 194304	58.5
AVS 194309	60.65
AVS 194313	60.54
AVS 194317	61.19
AVS 194318	64.73
AVS 194319	70.79
AVS 194330	64.74
AVS 194359	62.52
AVS 194362	55.7
AVS 194373	59.7
AVS 194383	60.54
AVS 194405	64.7
AVS 194407	57.29
AVS 194415	63
AVS 194432	59.7
AVS 194443	58.38
AVS 194458	58.78
AVS 194485	60.4
AVS 194512	71.28
AVS 194528	63
AVS 194531	59.96
AVS 194632	60.58
AVS 194657	66.82
AVS 194714	59.72
AVS 194719	62.5
AVS 194733	58.64
AVS 194744	62.5
AVS 194751	62.5
AVS 194819	58.63
AVS 194832	58.5
AVS 194837	63.56
AVS 194845	62.52
AVS 194972	60.42
AVS 194974	58.8
AVS 194975	62.39
AVS 194981	59.66
AVS 20049	76.76
AVS 20055	79.19
AVS 20059	71.7
AVS 20317	71.38
AVS 20449	76.2
AVS 20463	74.72
AVS 21417	64.2
AVS 21421	54
AVS 21570	70.79
AVS 21718	59.99
AVS 21851	62.39
AVS 24160	64.73
AVS 24316	70.78
AVS 25039	67.08
AVS 25078	64.78
AVS 25094	64.78
AVS 25124	59.28
AVS 25134	70.73
AVS 25330	70.79
AVS 25513	60.3
AVS 25727	58.79
AVS 25837	67.16
AVS 25844	70.79
AVS 25905	64.78
AVS 320002	41.99
AVS 320005	45.3
AVS 320018	41.96
AVS 320019	40.76
AVS 320032	47.94
AVS 320039	41.99
AVS 320042	44.54
AVS 320044	45.66
AVS 322004	62.39
AVS 322005	59.88
AVS 322008	67.16
AVS 322019	62.39
AVS 322023	67.16
AVS 322026	67.16
AVS 322046	62.38
AVS 322049	62.39
AVS 322051	62.39
AVS 322064	47.94
AVS 322066	62.39
AVS 322074	59.98
AVS 322090	62.39
AVS 322096	62.39
AVS 322117	62.39
AVS 436004	105.59
AVS 436007	105.59
AVS 436085	106.79
AVS 620006	81.84
AVS 620030	81.36
AVS 620043	81.48
AVS 620066	81.54
AVS 622001	90.54
AVS 622005	91.5
AVS 622036	95.38
AVS 622038	92.38
AVS 622087	107.88
AVS 622092	90
AVS 680837	132.47
AVS 796003	89.94
AVS 894006	76.76
AVS 894007	74.1
AVS 894014	76.78
AVS 92006	46.08
AVS 92010	47.94
AVS 92083	47.7
AVS 92099	44.38
AVS 92706	43.19
AVS 94005	58.55
AVS 94040	63.58
AVS 94063	60.6
AVS 94076	62.15
AVS 94153	63.58
AVS 94165	63.58
AVS 94234	58.64
AVS 94236	58.52
AVS 94240	63.56
AVS 94242	63.59
AVS 94323	60.6
AVS 94353	63.58
AVS 94515	57.48
AVS 94531	59.7
AVS 94611	68.05
AVS 94652	62.76
AVS 94655	56.4
AVS 94738	60.6
AVS 94953	62.34
